39536	
	(3.530896109e-13,-4.463379493e-13)	(2.851628401e-45,-2.0026263e-44)	(9.383321326e-44,1.007651545e-43)	(9.365350434e-46,1.084049545e-44)	(-1.195154795e-12,-1.697540643e-12)
	(-3.127198676e-45,-1.203135596e-44)	(1.328023891e-43,1.414743366e-43)	(-8.812279854e-45,1.253369866e-44)	(-1.305476067e-13,3.448916412e-13)	(3.196103488e-13,-5.102477121e-13)
	(-1.260306182e-13,-8.430304192e-13)	(9.447596505e-14,6.052165303e-15)	(2.112509761e-13,3.698163047e-13)	(6.357550344e-13,-4.009271015e-13)	(-1.22920063e-13,1.241173183e-13)
	(5.374580706e-13,1.137520673e-14)	(-5.283140782e-13,-1.081902191e-12)	(2.431847956e-14,2.27416936e-13)	(-5.976247449e-14,-3.559428283e-13)	(1.949977035e-13,-3.513693295e-14)
	(-2.537384113e-14,3.924768233e-13)	(4.197853114e-13,-4.889106735e-13)	(1.206150518e-13,-2.977303821e-13)	(-5.775798377e-13,-1.209218994e-12)	(-9.042590571e-14,-3.952535871e-14)
	(4.535041837e-13,3.899094438e-13)	(5.867738064e-13,4.569806974e-13)	(-7.994566051e-13,-2.27777964e-13)	(6.520409998e-14,-6.051410836e-13)	(8.031007582e-13,5.557881376e-13)
	(1.806993249e-13,-3.788813056e-13)	(-2.963836193e-13,-5.659741588e-13)	(-2.503785089e-13,-4.746714345e-13)	(9.200374258e-13,-1.52013066e-13)	(-5.281642972e-13,5.635094215e-13)
	(7.165391134e-14,-6.705348841e-13)	(1.310524465e-12,-6.769964798e-13)	(7.250828876e-13,2.938133439e-13)	(-7.64397467e-14,-1.997888868e-13)	(2.444043921e-13,-2.50356612e-14)
	(7.856793817e-45,2.435447103e-44)	(-5.308774733e-14,-6.444301565e-13)	(6.072707477e-13,5.365652668e-13)	(-7.772747529e-13,-2.527207803e-13)	(-4.573251973e-45,-8.60217772e-45)
	(1.685904527e-13,-5.078207572e-14)	(-1.665579724e-14,4.21413002e-13)	(5.97937885e-13,-3.997989975e-14)	(5.754862874e-14,1.525857674e-13)	(2.527935456e-13,2.394752269e-13)
	(1.308164853e-13,3.514467643e-13)	(5.401244958e-13,-5.961302296e-13)	(-3.290834155e-13,5.429940806e-13)	(-5.036340629e-13,-7.265993373e-14)	(-2.264915468e-13,5.114874117e-14)
	(4.863221142e-14,-2.570247184e-14)	(4.066081984e-13,4.112204449e-13)	(1.370819747e-13,4.417868907e-14)	(7.0341355e-13,6.73841441e-14)	(8.018458979e-14,-1.103078499e-13)
