39536	
	(-2.837369167e-13,-1.922128245e-13)	(9.290689122e-15,-4.384990182e-13)	(2.083455017e-13,-4.049352763e-14)	(1.386175047e-12,2.942085067e-13)	(3.49325193e-13,-2.058605084e-14)
	(-8.893125985e-14,-1.251963974e-13)	(8.921163533e-13,1.746550131e-13)	(2.458671813e-14,-6.354873885e-13)	(3.672355026e-13,-1.166756484e-13)	(8.352065775e-13,-1.10927538e-13)
	(1.004211444e-12,7.468147347e-13)	(3.449688087e-13,-1.779169667e-13)	(-3.521536343e-13,7.191766354e-14)	(-6.322992261e-14,5.416291734e-13)	(5.430030444e-13,-1.655237294e-13)
	(2.602827966e-13,-2.16658398e-13)	(3.72285565e-14,5.843666796e-15)	(2.737556618e-13,8.195510948e-13)	(2.778480766e-13,-3.896732996e-13)	(-1.442658083e-13,-4.247092259e-13)
	(8.882547986e-13,2.433395012e-13)	(9.446729717e-14,-9.748734074e-14)	(-4.096755744e-13,-1.448654062e-13)	(4.301672662e-13,-4.112289661e-13)	(3.383970183e-45,-8.462695862e-45)
	(-4.646835987e-13,-3.549237653e-13)	(9.388818216e-13,-2.977316462e-13)	(-7.990808817e-45,8.363167859e-45)	(-8.309576175e-13,-6.937575676e-13)	(7.981228269e-13,-7.368778343e-13)
	(-6.808279499e-14,1.015580327e-13)	(2.213848591e-13,1.340132263e-13)	(-8.24100008e-13,-6.266241812e-14)	(4.432551122e-13,-8.644317343e-14)	(-3.430076179e-13,-1.422337181e-13)
	(-6.73041269e-13,2.0164725e-14)	(-6.050120019e-13,-5.84628988e-13)	(-1.363832147e-13,6.016078856e-13)	(-2.538062433e-13,-2.722036333e-13)	(1.31632219e-13,-5.782367934e-13)
	(-3.137948841e-13,-5.411583484e-13)	(-4.966105839e-13,8.883613552e-14)	(-3.890974075e-13,3.813638913e-14)	(-4.151923743e-13,-3.013021474e-13)	(1.067182793e-44,-1.435264361e-45)
	(-1.476397065e-45,-1.145488098e-44)	(1.455739228e-44,5.945847677e-45)	(-1.148712197e-13,3.712942847e-13)	(9.248948572e-14,-4.755923494e-13)	(7.630522277e-14,2.812392086e-13)
	(4.323556399e-13,3.481961633e-13)	(-5.836786651e-45,-6.636479726e-45)	(5.348127332e-44,-5.921387584e-44)	(-1.480992396e-44,-2.227240998e-44)	(-5.271774535e-14,-4.017913099e-13)
