39536	
	(6.635317296e-16,1.977584763e-15)	(2.322794734e-15,-1.736458199e-15)	(-2.454633719e-15,5.898059818e-16)	(-1.214306433e-17,6.921546669e-16)	(-3.257810688e-15,-1.131907068e-16)
	(-1.667286101e-15,1.399921845e-15)	(-4.597017211e-16,3.242198177e-15)	(2.905661822e-16,8.396061624e-16)	(-3.766518347e-16,3.498937251e-15)	(-1.080732726e-15,-1.144917494e-15)
	(-8.378714389e-16,6.366435157e-16)	(2.893518758e-15,5.741934705e-16)	(-1.088538981e-15,-8.482797798e-16)	(3.590010234e-15,3.113828639e-16)	(6.778431982e-16,9.775166787e-16)
	(4.477321291e-15,1.387778781e-16)	(1.798474564e-15,1.984523657e-15)	(4.649058916e-16,2.66019845e-15)	(-2.39479718e-47,1.972500356e-47)	(1.82145965e-15,5.898059818e-16)
	(4.163336342e-17,1.09287579e-15)	(8.85219672e-47,-1.404805132e-47)	(-2.197894644e-15,1.023486851e-15)	(-3.660266534e-15,4.874572967e-16)	(-2.695326601e-16,-1.055145554e-15)
	(3.885780586e-16,-7.337880303e-16)	(-1.523087212e-15,-1.273287031e-15)	(-3.875372245e-15,2.289834988e-16)	(-9.124645484e-16,1.672273431e-15)	(-8.612902058e-16,9.614162765e-16)
	(-1.731254029e-15,-4.683753385e-16)	(7.494005416e-16,-1.318389842e-15)	(-1.7069679e-15,-9.853229344e-16)	(9.783840405e-16,2.057382043e-15)	(8.50881865e-16,-2.985459102e-15)
	(1.150121665e-15,2.387413184e-16)	(1.373467312e-15,-1.864827737e-15)	(1.672273431e-15,-1.693090113e-15)	(-6.078936057e-47,3.408309558e-47)	(-2.922507845e-46,-3.194488382e-47)
	(5.698334362e-48,2.775398875e-47)	(5.521624824e-15,-2.827599266e-16)	(-2.442490654e-15,6.657001339e-16)	(3.851086117e-16,5.052382124e-16)	(2.79463952e-15,9.720956679e-16)
	(-2.574329638e-15,2.157562323e-15)	(9.36750677e-17,-2.391316312e-15)	(2.520553211e-15,4.383971484e-15)	(5.585809593e-16,8.586881206e-16)	(-8.003580437e-16,4.70110062e-16)
	(3.289469391e-16,-1.080190624e-15)	(2.036999042e-15,5.197231534e-15)	(1.084635853e-15,2.921274334e-15)	(-1.856154119e-16,-8.222589276e-16)	(4.267419751e-16,1.884777057e-15)
	(3.242198177e-15,5.655198532e-16)	(-2.100750129e-15,-1.491862189e-16)	(2.692290835e-15,6.694948415e-17)	(-1.484923295e-15,3.358424649e-15)	(8.766668249e-48,-8.00920673e-47)
	(4.753142324e-16,-4.758346495e-15)	(4.510281038e-15,-1.554312234e-15)	(1.593343513e-15,1.295621596e-15)	(2.51534904e-15,-2.24559954e-15)	(-1.404258654e-15,-2.196159921e-15)
	(3.60822483e-16,-3.911801438e-16)	(-3.885780586e-15,1.639313685e-15)	(9.783840405e-16,-2.116362641e-15)	(-3.615163724e-15,5.533767888e-16)	(6.782768791e-16,-3.058317488e-15)
	(1.824929097e-15,1.400355526e-15)	(-2.865763182e-15,-3.191891196e-15)	(-1.798908245e-15,-1.075528555e-15)	(-3.858025011e-15,-5.082739785e-16)	(-7.077671782e-16,5.828670879e-16)
	(-1.804112415e-16,-8.430756093e-16)	(3.6429193e-16,-1.121498727e-15)	(-2.354019757e-15,2.654126918e-16)	(5.178149576e-15,-2.733056836e-15)	(1.738192923e-15,9.029235692e-16)
	(-8.118505868e-16,-5.204170428e-17)	(3.021888295e-15,2.56522234e-15)	(1.443289932e-15,1.438085762e-15)	(-1.396452398e-15,-7.207776043e-16)	(6.08367523e-15,1.433857373e-15)
	(-3.469446952e-18,-1.187418219e-15)	(1.307981501e-15,4.631711681e-16)	(3.065256382e-15,1.510510467e-15)	(-1.51171572e-47,8.053574624e-47)	(-4.961309141e-16,-4.357625372e-15)
	(5.79397641e-15,-2.140648769e-15)	(9.044635779e-48,6.765302034e-47)	(-4.713474022e-46,5.165919632e-47)	(-3.940724289e-47,-1.881626356e-48)	(-1.024203437e-46,-1.613280779e-47)
	(-1.066112388e-46,-2.032370286e-47)	(-8.052505519e-47,-5.6303125e-47)	(3.530162274e-15,-4.805184028e-16)	(-1.752070711e-15,1.387778781e-17)	(6.453171331e-16,-6.557254739e-16)
	(-6.938893904e-17,1.724315135e-15)	(1.242062009e-15,1.810400788e-15)	(7.806255642e-16,-1.314920395e-15)	(1.759009605e-15,3.020153572e-15)	(3.073929999e-15,-5.512083845e-16)
	(-3.205768984e-15,-1.191863448e-15)	(5.637851297e-15,8.534839502e-16)	(3.627306788e-15,1.62196645e-15)	(-2.428612866e-15,-1.12279977e-15)	(-1.7069679e-15,6.774095174e-16)
	(-2.824129819e-15,-3.157196726e-16)	(-8.291985237e-47,-1.142660369e-46)	(-4.048844593e-15,-3.246751826e-15)	(2.584737979e-15,-7.917277944e-15)	(2.109423747e-15,8.534839502e-16)
	(-4.239664175e-15,1.686151219e-15)	(-1.106753578e-15,-1.151856388e-15)	(9.020562075e-17,2.983724379e-16)	(-9.671083379e-16,5.499073419e-16)	(-1.318389842e-16,1.011343786e-15)
	(-1.262878691e-15,-1.649722026e-15)	(-1.658395643e-15,4.628242234e-15)	(9.159339953e-16,-6.930220287e-16)	(1.415534356e-15,-2.293304435e-15)	(4.874572967e-15,-2.144985578e-15)
	(1.228184221e-15,5.630912403e-15)	(-1.953298634e-15,-2.524890019e-15)	(5.898059818e-17,-9.688430613e-16)	(-2.126770982e-15,2.667137344e-16)	(-7.285838599e-17,-1.206066497e-15)
	(-1.439820485e-15,4.540638698e-16)	(-4.510281038e-17,-1.032160468e-15)	(6.947567521e-16,-1.757274881e-15)	(-2.035697999e-15,-2.705301261e-15)	(1.084287188e-46,5.225789561e-47)
	(-6.730727087e-16,-5.863365349e-16)	(1.873501354e-15,-2.539635169e-15)	(1.152923785e-46,-9.254180532e-47)	(-5.261711519e-46,-2.848098075e-47)	(1.330395362e-46,-5.952781562e-47)
	(1.022385957e-46,8.121997401e-47)	(-6.217919822e-46,-9.515042368e-48)	(-6.495887351e-47,-4.122472289e-47)	(-6.904199434e-16,-2.518818487e-15)	(1.035955176e-16,4.753142324e-16)
	(-1.774622116e-15,-2.746067262e-15)	(9.247765897e-48,-9.562083027e-47)	(-2.801912701e-46,-8.232115307e-48)	(7.043269564e-47,8.052505519e-47)	(5.526828994e-15,4.157915331e-17)
	(1.147519579e-15,-1.239459924e-15)	(4.371503159e-16,1.115427195e-15)	(-1.675742878e-15,-3.674144322e-15)	(-5.79397641e-16,-1.760744328e-15)	(-1.268950223e-15,1.209535944e-15)
	(1.540434447e-15,-1.311450948e-15)	(-1.446759379e-15,-1.505739977e-15)	(-4.163336342e-17,1.071842268e-15)	(-3.157196726e-16,-1.325328736e-15)	(3.762181539e-16,-2.859041129e-15)
	(-2.085137618e-15,4.388850394e-16)	(-8.213915659e-16,1.808882905e-15)	(-1.006139616e-15,2.331468352e-15)	(-1.66186509e-15,-2.137179322e-15)	(8.291978215e-16,2.236058561e-15)
	(2.437286484e-16,-3.053113318e-16)	(5.225789561e-47,3.694829935e-47)	(2.130240428e-15,3.19883009e-15)	(-9.992007222e-16,2.713107516e-15)	(-1.183081411e-15,5.169475958e-15)
	(-1.165734176e-15,5.152128724e-16)	(2.514264838e-16,-2.104544837e-15)	(-1.719110965e-15,-1.366962099e-15)	(-5.147791915e-16,3.84761667e-15)	(1.977584763e-16,-9.020562075e-17)
	(1.873501354e-15,5.093148125e-15)	(-1.370431546e-16,2.56522234e-15)	(-1.504005254e-15,-2.167482773e-15)	(-2.094592248e-46,-9.288391921e-47)	(-3.497202528e-15,1.589440385e-15)
	(-1.578598363e-15,-4.510281038e-16)	(-1.013729031e-15,3.139849492e-16)	(7.008282843e-16,2.428612866e-16)	(1.196959198e-16,4.411401799e-15)	(6.175615574e-16,1.207367539e-15)
	(-1.119655584e-15,1.504005254e-15)	(-3.536602264e-47,8.086716907e-47)	(-2.245977641e-46,1.218353065e-46)	(1.997089791e-47,-4.960651302e-48)	(5.201568343e-15,-1.298440522e-15)
	(4.302082077e-47,9.42096105e-47)	(-4.35339916e-46,1.618198666e-46)	(-3.818846218e-47,-1.146081508e-47)	(-1.087671619e-15,-1.992329912e-15)	(1.727784582e-15,-2.320192649e-16)
	(-1.611124428e-15,-2.271945652e-15)	(5.724587471e-17,-1.859623566e-15)	(-9.046582927e-16,1.390814547e-15)	(-4.194561365e-15,-1.890848589e-16)	(1.944625017e-15,-2.171873792e-15)
	(-9.471590179e-16,-1.439820485e-15)	(-1.370431546e-16,2.895036641e-15)	(-2.069525107e-15,-1.790234627e-15)	(-3.32373018e-15,1.264613414e-15)	(2.333203075e-15,1.335737077e-15)
	(-4.742733983e-15,-2.237793284e-15)	(-5.585809593e-16,1.375635716e-15)	(9.176687188e-16,1.101549407e-15)	(-2.733924198e-15,-2.049575787e-15)	(-3.265630496e-15,-6.106226635e-16)
	(1.306246777e-15,-1.235123115e-15)	(-4.718447855e-15,-1.068589661e-15)	(-2.177077962e-15,9.575673587e-16)	(2.060851489e-15,-6.071532166e-16)	(1.904726377e-15,-7.840950111e-16)
	(-3.788636072e-15,-1.859623566e-15)	(1.046038256e-15,4.354155925e-15)	(-9.419548475e-16,7.494005416e-16)	(-1.640614727e-15,-9.757819552e-16)	(1.096345237e-15,3.726186026e-15)
	(-6.453171331e-16,2.681882494e-15)	(-1.469310784e-15,2.678413047e-15)	(-1.460637167e-15,2.053912596e-15)	(3.257810688e-15,2.710505431e-15)	(1.304512054e-15,1.023486851e-15)
	(-1.558221826e-47,-1.009235955e-47)	(-8.916478667e-16,2.213507155e-15)	(-5.47478729e-15,-4.475586568e-16)	(-9.656164345e-47,5.046179773e-48)	(-1.387778781e-15,5.812191006e-15)
	(-7.209510766e-15,-5.044575868e-15)	(7.650130529e-16,-1.040834086e-17)	(-6.763163822e-47,-8.138033989e-47)	(-5.234342408e-47,1.028907503e-46)	(-3.734921406e-47,-2.016333697e-47)
	(1.155325835e-15,-9.506284648e-16)	(-7.147060721e-16,1.194729808e-15)	(-1.37737044e-15,4.631711681e-16)	(1.791101989e-15,2.891784034e-15)	(-1.236741687e-46,6.773854881e-47)
	(3.207317652e-47,4.413269089e-47)	(-1.211510788e-46,5.905740903e-47)	(-3.395721204e-15,2.260344689e-15)	(1.543903894e-15,-1.154892154e-15)	(-2.761679774e-15,2.988928549e-15)
	(-1.92120625e-16,2.978520208e-15)	(-4.191091918e-15,-8.569533971e-16)	(-1.065120214e-15,-2.726985304e-15)	(-1.144917494e-15,3.903127821e-16)	(-9.870576578e-16,1.590741427e-15)
	(-6.800116026e-16,6.661338148e-16)	(3.982057739e-15,7.147060721e-16)	(1.238592562e-15,1.108488301e-15)	(-9.36750677e-16,-1.588139342e-15)	(1.677477601e-15,3.662434939e-15)
	(1.346145417e-15,4.066191828e-15)	(1.561251128e-15,1.162264729e-15)	(-8.187894807e-16,5.585809593e-16)	(-4.093947403e-16,1.519617765e-15)	(-2.865763182e-15,2.284197137e-15)
	(2.428612866e-17,-1.804112415e-16)	(7.077671782e-16,5.134781489e-16)	(-2.311519032e-16,3.384337081e-16)	(-1.42247325e-16,5.538972059e-15)	(-1.269817584e-15,1.068589661e-15)
	(-1.757274881e-15,1.908195824e-17)	(-1.734723476e-17,1.249000903e-15)	(-1.370431546e-15,8.257283746e-16)	(-1.693090113e-15,1.05818132e-15)	(-3.125971704e-15,-9.575673587e-16)
	(-1.477984402e-15,-4.727121472e-16)	(-7.783090836e-48,1.323125442e-46)	(5.141720383e-15,4.49640325e-15)	(-3.802513859e-15,3.788636072e-15)	(-1.214306433e-15,-8.500145032e-16)
	(1.827636509e-47,-3.5430169e-47)	(2.983724379e-16,-4.579669977e-16)	(-6.869504965e-16,5.707240236e-16)	(-8.985867606e-16,2.671474153e-15)	(4.063589742e-16,-1.006139616e-16)
	(-4.542807103e-16,4.614364446e-16)	(4.36248656e-47,-1.834585697e-47)	(4.00273243e-47,-2.642829745e-47)	(6.297033657e-47,-2.016333697e-47)	(-1.061650767e-15,5.048045315e-16)
	(8.899131432e-16,3.087807787e-16)	(9.428222092e-16,9.072603779e-16)	(8.396061624e-16,1.742231576e-15)	(-5.888635209e-47,1.409081555e-47)	(-2.465785811e-46,3.061919252e-47)
	(-1.200605908e-47,3.463903064e-47)	(-6.15826834e-16,2.186510521e-15)	(-9.714451465e-16,1.061867608e-15)	(4.742733983e-15,2.281161371e-15)	(2.423408696e-15,-1.719110965e-15)
	(-8.326672685e-16,1.28486089e-15)	(-1.208234901e-15,8.985867606e-16)	(-1.69655956e-15,2.532696275e-16)	(-1.131473387e-15,-1.054711873e-15)	(9.332812301e-16,-2.181414771e-16)
