39536	
	(-8.646659385e-13,6.440995742e-14)	(-1.152915974e-12,-1.497268725e-12)	(1.990394002e-13,-9.865269322e-13)	(-2.368850811e-13,1.415574932e-13)	(-8.683667469e-14,-3.039030891e-13)
	(2.899211811e-44,-1.549207042e-44)	(-8.03653384e-13,2.154840662e-13)	(5.364305008e-13,-9.023248713e-13)	(-1.393352607e-13,1.039707763e-12)	(-9.816323089e-45,7.73927126e-45)
	(-1.074098826e-13,-2.046189006e-13)	(5.383877539e-13,-7.744740197e-14)	(-1.976213726e-13,-7.475027635e-13)	(1.774098948e-13,-1.071065272e-13)	(2.419889682e-13,-3.833878433e-13)
	(4.147195514e-13,-2.459665215e-13)	(-8.80949467e-13,-5.429936252e-13)	(7.558683735e-13,2.902872671e-13)	(2.142116518e-14,6.535740449e-13)	(1.132374504e-13,2.749623473e-13)
	(-5.117713579e-14,-5.30752211e-14)	(4.186057148e-13,-6.106359886e-13)	(2.242893601e-14,-1.846940379e-13)	(-8.13454219e-14,-9.07119206e-13)	(-1.572499618e-13,-7.534225538e-14)
	(1.414800916e-44,-2.221540159e-44)	(3.350169376e-44,-6.514101774e-44)	(-2.369992079e-44,1.077396778e-44)	(-7.906575865e-13,1.168732652e-12)	(-1.179273675e-44,-5.859348508e-45)
	(5.85825043e-44,-6.625919048e-44)	(3.091011069e-44,-8.806039743e-45)	(-2.637176096e-13,-4.14919407e-14)	(-6.475125105e-14,6.294161376e-13)	(-3.448922285e-13,9.864135387e-13)
	(-4.395058246e-14,-2.287471302e-13)	(-2.746756342e-13,2.195995507e-13)	(3.895777758e-13,9.314137754e-14)	(6.828611398e-13,3.41036699e-13)	(-4.898017357e-13,5.323548623e-13)
	(4.370529543e-13,3.080425538e-13)	(-2.829365286e-14,6.525802809e-13)	(-3.202440256e-13,5.903637054e-14)	(-2.057237518e-12,-4.895349785e-13)	(-5.227355076e-13,5.954268071e-15)
	(1.203116839e-13,2.03190577e-13)	(-1.304470152e-12,-2.859170744e-13)	(-7.152762923e-14,9.463682799e-13)	(-5.716782534e-13,1.591936997e-13)	(-1.242906596e-12,1.337521427e-13)
	(-1.456387726e-12,-1.176217607e-12)	(-5.116954546e-13,2.685689724e-13)	(5.355382135e-13,-8.216829137e-14)	(1.124685895e-13,-7.92552262e-13)	(-8.212900811e-13,2.113326858e-13)
	(-3.753640115e-13,3.199588298e-13)	(-5.283116735e-14,-4.417235553e-15)	(-3.837021934e-13,-1.210302931e-12)	(-4.241329822e-13,5.68689075e-13)	(1.945416763e-13,6.542569683e-13)
	(-1.308480476e-12,-3.593552951e-13)	(-1.750320628e-13,1.461390974e-13)	(5.942676113e-13,2.300950132e-13)	(-6.722675446e-13,5.918725325e-13)	(-5.358854643e-45,1.25343257e-44)
	(6.781590055e-13,5.453624854e-13)	(-1.409227581e-12,3.925717103e-13)	(1.227793718e-44,-1.205596406e-44)	(1.197476757e-12,1.094500275e-12)	(-1.233921442e-12,1.041503121e-12)
	(1.064861785e-13,-1.484160287e-13)	(-3.219794035e-13,-2.116948994e-13)	(1.227152761e-12,1.474832198e-13)	(-6.923243103e-13,1.157256683e-13)	(4.975974259e-13,2.321885529e-13)
