39536	
	(-2.957075244e-14,2.222176535e-14)	(-4.112688901e-13,-1.547732014e-13)	(-1.059449984e-13,1.274339513e-14)	(-4.956763856e-13,1.823343063e-13)	(-1.820526385e-14,1.027596306e-13)
	(-1.49738059e-44,-4.483948998e-45)	(-4.22502773e-44,-8.42685853e-45)	(9.926084404e-45,1.172870372e-44)	(7.885221656e-13,2.583164891e-13)	(-1.319337592e-45,7.702158729e-45)
	(-4.693930537e-44,-2.25237154e-44)	(-9.937847473e-45,-1.610784093e-44)	(1.959626468e-14,1.549149361e-13)	(3.669910772e-13,-6.977614684e-14)	(6.048093469e-13,4.196598167e-14)
	(-1.210128474e-13,6.619587447e-14)	(1.510722824e-13,1.225548102e-13)	(-4.764391694e-15,-2.503587019e-13)	(8.987567618e-14,-4.453882264e-13)	(3.838621273e-13,1.98439947e-13)
	(1.052859988e-13,-2.794465632e-13)	(3.789138892e-13,-8.211899968e-14)	(7.642602825e-14,1.69423758e-13)	(3.277015762e-14,1.251388057e-12)	(9.173122185e-14,2.954694719e-13)
	(8.669111877e-14,-1.032436112e-13)	(3.291592497e-14,8.06106429e-13)	(5.508199198e-13,-1.118880084e-13)	(1.756006117e-13,2.880007151e-13)	(2.678221382e-13,6.957828551e-13)
	(-4.297777706e-13,1.018512772e-12)	(2.214397921e-13,2.61750465e-13)	(-1.362766543e-13,-2.861951988e-13)	(-4.807248233e-13,5.72365819e-14)	(2.567657684e-13,4.310297571e-13)
	(2.39076663e-13,1.827911064e-13)	(1.756957625e-15,3.365694768e-14)	(-6.518218016e-13,4.036025306e-13)	(3.925430107e-13,1.591261581e-13)	(3.323206118e-13,-2.11995602e-13)
	(-3.23628741e-14,8.154310843e-13)	(1.018606998e-13,5.581363377e-14)	(3.990625016e-14,-3.838298245e-13)	(4.425556846e-13,2.819671501e-13)	(7.961619401e-45,1.163405255e-45)
	(2.093445841e-13,-4.727784106e-13)	(4.523496225e-13,7.452275e-13)	(-8.852923996e-45,-5.127605944e-45)	(4.191572318e-13,-8.589839297e-13)	(8.021048567e-13,5.301224675e-13)
	(-1.013645743e-13,-3.73296573e-14)	(-6.887176361e-14,2.183403947e-13)	(-1.202231416e-13,-7.203813953e-13)	(1.645544582e-13,3.580711313e-13)	(5.007027092e-14,-3.252628189e-13)
	(-1.599600009e-13,-5.737822537e-13)	(3.757313289e-13,-6.436487703e-13)	(-5.443853172e-13,8.499130148e-15)	(1.774642126e-13,-2.764650039e-13)	(5.234540452e-13,-8.558448667e-15)
	(3.983644281e-13,-3.829981242e-13)	(-1.78173276e-13,-4.08705504e-13)	(-1.132918043e-13,-3.268062628e-13)	(1.715440055e-13,-4.202607166e-13)	(3.447976707e-45,8.856864035e-45)
	(9.514489011e-45,-3.716674979e-45)	(-2.055078101e-45,1.370408691e-44)	(-3.427309143e-13,-2.039925796e-14)	(4.283081295e-13,-1.993897968e-14)	(-2.252765166e-13,1.245128236e-13)
	(-2.084734089e-13,4.460294301e-13)	(4.490151831e-45,-6.419523308e-45)	(6.19783119e-44,3.349721751e-44)	(1.600881286e-44,-1.736286568e-44)	(3.345610297e-13,-1.288125887e-13)
	(-1.00113086e-13,-8.321811242e-14)	(2.610972727e-13,-1.29508954e-13)	(7.130383655e-13,-5.287211103e-13)	(-4.419766133e-13,6.57761536e-14)	(-5.446370463e-14,-3.381866168e-13)
	(5.526844737e-13,4.46694732e-13)	(-5.932305334e-13,-6.763483385e-13)	(4.19769669e-13,-3.761425085e-13)	(-4.968180786e-14,4.058208246e-13)	(-2.262402099e-13,-3.946990832e-14)
	(4.193788647e-14,-4.259197735e-13)	(-5.884364503e-13,1.450298028e-13)	(5.241982075e-13,8.416877922e-14)	(6.187230254e-14,-1.279609994e-13)	(6.202268038e-13,2.953932199e-13)
	(4.364912707e-13,-1.338034282e-13)	(3.551884761e-13,-5.812184831e-13)	(2.420970735e-14,-1.91475271e-13)	(3.633014158e-13,-6.376978776e-13)	(1.181406852e-13,2.945678852e-13)
	(2.223221243e-13,-5.481173021e-14)	(-4.91192247e-13,-3.440607535e-13)	(1.397606922e-13,2.421903892e-13)	(-6.575348528e-13,-3.601892647e-13)	(-3.892292997e-14,-2.432738346e-13)
