39536	
	(-1.159890723e-44,-2.4391244e-44)	(1.126116089e-43,-4.29790183e-44)	(9.910598166e-45,2.682191976e-45)	(2.859673254e-13,5.346064868e-13)	(-4.488744735e-13,6.637340973e-14)
	(4.302776725e-13,6.126111542e-13)	(-1.42299479e-14,5.13572766e-13)	(2.418166973e-13,-3.612990616e-13)	(1.112433117e-12,7.232916655e-14)	(-4.999738785e-13,5.700727894e-13)
	(2.342456122e-13,3.638374024e-13)	(2.735259925e-14,-7.47553087e-13)	(5.113917378e-13,4.722490819e-13)	(8.664815842e-13,-3.058633442e-13)	(-6.021342463e-13,-3.46898624e-13)
	(1.272500215e-12,5.929823515e-13)	(1.542323004e-13,-3.564216376e-13)	(-2.452367928e-13,-2.738511032e-13)	(7.415935417e-13,5.37483873e-13)	(8.413162522e-13,1.520602795e-13)
	(-3.425561668e-13,3.248417659e-13)	(1.228699578e-12,2.701526467e-13)	(5.441590072e-13,-2.793590966e-13)	(-5.597322393e-13,1.51400575e-13)	(-5.359575475e-13,2.018396171e-13)
	(9.682467342e-13,4.521607099e-13)	(-2.930580696e-13,-1.148235861e-12)	(1.99026735e-13,-2.098057732e-13)	(4.257737105e-13,2.507058043e-13)	(-3.244669192e-13,-9.906218776e-13)
	(1.671727876e-13,-7.332411577e-13)	(3.909882085e-13,-7.18107721e-13)	(3.149385996e-13,-5.623064427e-13)	(-8.579327508e-13,-7.30587387e-13)	(-3.515409076e-13,-2.957319573e-13)
	(3.963349281e-45,2.440999155e-45)	(1.988595892e-13,-6.611942655e-13)	(1.509420688e-12,9.005391346e-14)	(2.518674534e-44,-1.331314684e-45)	(3.472728456e-13,-1.551323898e-12)
	(1.930462215e-12,1.299808611e-12)	(-1.974873461e-13,3.618622032e-15)	(1.774511237e-44,2.113116644e-44)	(1.396662703e-44,-2.747953697e-44)	(9.673185302e-45,5.316801853e-45)
	(-3.09174567e-13,2.582988106e-13)	(1.990528593e-13,-3.098619747e-13)	(3.535393168e-13,-1.201512383e-13)	(-4.343721569e-13,-7.352143839e-13)	(3.211594029e-44,-1.807879226e-44)
	(-8.525592249e-45,-1.137440024e-44)	(3.126530216e-44,-1.568363026e-44)	(9.001763219e-13,-5.881904572e-13)	(-4.0472315e-13,3.045236305e-13)	(7.723291971e-13,-7.849492981e-13)
	(4.268151494e-14,-7.762293659e-13)	(1.089205946e-12,2.123137338e-13)	(2.860924872e-13,7.222153354e-13)	(3.108888508e-13,-9.265508158e-14)	(2.686394293e-13,-4.224333671e-13)
	(1.663071809e-13,-1.719598372e-13)	(-9.8567265e-13,-1.938493759e-13)	(-3.280994038e-13,-2.75941625e-13)	(2.48102115e-13,4.038483873e-13)	(-4.283425614e-13,-9.539512306e-13)
	(-4.191232864e-13,-1.065301689e-12)	(-4.466919662e-13,-3.266574963e-13)	(1.839344764e-13,-1.527824368e-13)	(1.117534937e-13,-4.066081272e-13)	(7.477651835e-13,-5.939271349e-13)
	(1.868369156e-14,4.213770804e-14)	(-2.041989098e-13,-1.536037512e-13)	(5.905644809e-14,-8.951169196e-14)	(1.532494138e-14,-1.415768832e-12)	(2.574179474e-13,-2.885755054e-13)
	(4.382631643e-13,-2.776644707e-15)	(-4.632417354e-14,-3.044828409e-13)	(3.302685539e-13,-2.440640234e-13)	(4.235275972e-13,-2.697060289e-13)	(7.761644629e-13,2.633949077e-13)
	(3.843672229e-13,1.187048586e-13)	(2.546020221e-45,-3.442071675e-44)	(-1.400059556e-12,-1.21183319e-12)	(1.056430792e-12,-1.067069938e-12)	(3.173134953e-13,2.195514552e-13)
	(-4.667269347e-45,9.371572454e-45)	(-1.510158288e-13,1.081102183e-13)	(2.001025356e-13,-2.341647969e-13)	(1.668830459e-13,-6.977368353e-13)	(-1.568098121e-13,-1.794924562e-15)
	(1.134611413e-13,-1.668243517e-13)	(-1.114920912e-44,4.914121959e-45)	(-1.070133097e-44,7.655635572e-45)	(-1.626203818e-44,5.480666917e-45)	(2.827723807e-13,-1.443353286e-13)
	(-2.360563937e-13,-6.318989866e-14)	(-2.455486133e-13,-2.254341657e-13)	(-2.267997799e-13,-4.549954115e-13)	(1.504508492e-44,-3.694348981e-45)	(6.39075526e-44,-8.558092836e-45)
