96240	
	(3399005.494,0)	(3711617.154,0)	(3344030.223,0)	(3701102.323,0)	(3334558.916,0)
	(3690483.622,0)	(3324994.072,0)	(3713188.671,0)	(3345445.735,0)	(3748175.793,0)
	(3376960.782,0)	(3735998.304,0)	(3365991.746,0)	(3724631.131,0)	(3355752.631,0)
	(5173772.28,0)	(4661245.212,0)	(5212643.701,0)	(4696267.014,0)	(5304376.506,0)
	(4778916.023,0)	(5251903.679,0)	(4731639.082,0)	(5263318.78,0)	(4741923.879,0)
	(5388249.564,0)	(4854485.038,0)	(5431160.277,0)	(4893148.228,0)	(5463390.266,0)
	(4922188.001,0)	(5375755.631,0)	(4843227.733,0)	(5335158.672,0)	(4806650.153,0)
	(5033180.436,0)	(4534578.018,0)	(5068823.939,0)	(4566690.957,0)	(5120111.636,0)
	(4612898.995,0)	(5157581.44,0)	(4646657.752,0)	(5109253.056,0)	(4603115.661,0)
	(3810971.165,0)	(3433525.115,0)	(4049747.357,0)	(3648614.709,0)	(3847070.949,0)
	(3466043.199,0)	(3836059.015,0)	(3456123.798,0)	(3824870.158,0)	(3446045.034,0)
	(3862095.254,0)	(3479576.883,0)	(3905273.257,0)	(3518471.272,0)	(3921877.18,0)
	(3533428.036,0)	(3938894.597,0)	(3548757.324,0)	(3956324.687,0)	(3564458.4,0)
	(3877709.721,0)	(3493642.223,0)	(3893549.972,0)	(3507910.992,0)	(4303568.438,0)
	(3877266.872,0)	(4261985.359,0)	(3839806.561,0)	(4237979.089,0)	(3818180.479,0)
	(4215007.971,0)	(3797486.993,0)	(4278524.924,0)	(3854706.237,0)	(4191903.188,0)
	(3776673.175,0)	(4063587.084,0)	(3661081.816,0)	(4169543.066,0)	(3756530.259,0)
	(4083976.575,0)	(3679449.164,0)	(4104824.359,0)	(3698229.424,0)	(4147354.477,0)
	(3736541.941,0)	(4125877.766,0)	(3717194.984,0)	(4319432.587,0)	(3891558.142,0)
	(4720178.949,0)	(4252585.593,0)	(4821093.948,0)	(4343501.758,0)	(4785975.054,0)
	(4311862.363,0)	(4751806.176,0)	(4281079.017,0)	(4676962.148,0)	(4213650.95,0)
	(4710068.007,0)	(4243476.304,0)	(4877367.949,0)	(4394200.316,0)	(4840704.424,0)
	(4361169.091,0)	(5022751.55,0)	(4525181.891,0)	(4982935.246,0)	(4489309.608,0)
	(4959083.744,0)	(4467821.093,0)	(4914555.038,0)	(4427703.327,0)	(4646640.473,0)
	(4186333.982,0)	(4617007.576,0)	(4159637.674,0)	(4565963.046,0)	(4113651.993,0)
	(4587528.826,0)	(4133080.306,0)	(4507530.059,0)	(4061010.284,0)	(4528149.703,0)
	(4079586.088,0)	(4479848.639,0)	(4036072.525,0)	(4451194.274,0)	(4010258.342,0)
	(4345514.617,0)	(3915054.487,0)	(4425584.838,0)	(3987187.377,0)	(4397902.183,0)
	(3962248.785,0)	(4372042.614,0)	(3938952.674,0)	(4335764.025,0)	(3906270.363,0)
	(3551155.511,0)	(3199496.408,0)	(3549598.787,0)	(3198094.424,0)	(3550676.302,0)
	(3199064.696,0)	(3550787.043,0)	(3199164.371,0)	(3554224.442,0)	(3202260.428,0)
	(3555624.186,0)	(3203521.164,0)	(3552274.791,0)	(3200504.367,0)	(3554522.399,0)
	(3202528.747,0)	(3560021.605,0)	(3207481.979,0)	(3557271.465,0)	(3205004.877,0)
	(3562366.242,0)	(3209593.83,0)	(3565001.74,0)	(3211967.67,0)	(3608347.399,0)
	(3251010.336,0)	(3601786.28,0)	(3245100.511,0)	(3571550.806,0)	(3217866.561,0)
	(3575316.536,0)	(3221258.446,0)	(3595206.207,0)	(3239173.638,0)	(3590288.23,0)
	(3234743.863,0)	(3585091.995,0)	(3230063.461,0)	(3579638.486,0)	(3225151.339,0)
	(3584133.772,0)	(3229200.368,0)	(3568485.06,0)	(3215105.169,0)	(3596199.553,0)
	(3240068.366,0)	(3608675.929,0)	(3251306.236,0)	(3615574.066,0)	(3257519.63,0)
	(3637871.789,0)	(3277604.064,0)	(3630183.103,0)	(3270678.549,0)	(3622541.139,0)
	(3263795.136,0)	(3646256.705,0)	(3285156.713,0)	(3654450.233,0)	(3292536.986,0)
	(3663800.235,0)	(3300958.968,0)	(3638864.281,0)	(3278498.006,0)	(5532750.507,0)
	(4984680.908,0)	(5561468.171,0)	(5010542.779,0)	(5495416.066,0)	(4951042.054,0)
	(3682064.535,0)	(3317410.522,0)	(3672775.598,0)	(3309043.511,0)	(3785398.456,0)
	(3410489.794,0)	(3799971.466,0)	(3423616.781,0)	(3761934.66,0)	(3389354.242,0)
	(3774254.884,0)	(3400451.91,0)	(3702592.385,0)	(3335901.055,0)	(3692543.05,0)
	(3326849.072,0)	(3704526.278,0)	(3337642.967,0)	(3714262.613,0)	(3346413.038,0)
	(3749671.913,0)	(3378308.364,0)	(3738074.531,0)	(3367861.865,0)	(3725851.228,0)
	(3356851.581,0)	(3684623.159,0)	(3319715.108,0)	(5203449.38,0)	(4687983.084,0)
	(5237347.473,0)	(4718524.193,0)	(5281046.248,0)	(4757895.681,0)	(5319886.93,0)
	(4792890.298,0)	(5450618.522,0)	(4910677.948,0)	(5415817.93,0)	(4879323.558,0)
	(5365775.118,0)	(4834234.875,0)	(5183356.889,0)	(4669880.231,0)	(5057793.597,0)
	(4556752.883,0)	(5093649.694,0)	(4589057.499,0)	(5135939.502,0)	(4627158.788,0)
	(3812847.801,0)	(3435215.482,0)	(3974175.279,0)	(3580538.322,0)	(3992439.935,0)
	(3596991.292,0)	(4011172.667,0)	(3613865.974,0)	(4043838.393,0)	(3643291.781,0)
	(4030223.726,0)	(3631027.457,0)	(3850755.105,0)	(3469361.801,0)	(3839238.36,0)
	(3458987.649,0)	(3827414.555,0)	(3448336.905,0)	(3866161.715,0)	(3483239.87,0)
	(3909966.154,0)	(3522698.602,0)	(3926428.923,0)	(3537528.227,0)	(3943668.858,0)
	(3553057.974,0)	(3961148.109,0)	(3568803.349,0)	(3881622.012,0)	(3497166.343,0)
	(3897873.103,0)	(3511805.206,0)	(4037743.694,0)	(3637801.516,0)	(4295861.822,0)
	(3870324.192,0)	(4254637.638,0)	(3833187.287,0)	(4230561.127,0)	(3811497.952,0)
	(4207577.547,0)	(3790793.27,0)	(4269873.132,0)	(3846912.123,0)	(4057293.327,0)
	(3655412.214,0)	(4184989.852,0)	(3770445.293,0)	(4077234.875,0)	(3673376.02,0)
	(4162311.735,0)	(3750015.938,0)	(4098086.587,0)	(3692159.795,0)	(4118885.627,0)
	(3710896.187,0)	(4140642.546,0)	(3730495.543,0)	(4310979.928,0)	(3883943.313,0)
	(4669788.872,0)	(4207188.237,0)	(4744256.679,0)	(4274277.35,0)	(4811320.394,0)
	(4334696.31,0)	(4773101.511,0)	(4300264.138,0)	(4697118.392,0)	(4231809.612,0)
	(4731386.666,0)	(4262682.328,0)	(4900291.357,0)	(4414852.446,0)	(4834012.138,0)
	(4355139.551,0)	(4862619.306,0)	(4380912.512,0)	(5012529.158,0)	(4515971.737,0)
	(5041606.427,0)	(4542168.779,0)	(4996358.222,0)	(4501402.298,0)	(4972030.871,0)
	(4479485.067,0)	(4938480.625,0)	(4449258.444,0)	(4607388.511,0)	(4150971.606,0)
	(4634129.659,0)	(4175062.713,0)	(4575489.9,0)	(4122234.228,0)	(4594863.231,0)
	(4139687.335,0)	(4547219.537,0)	(4096765.686,0)	(4498222.673,0)	(4052625.201,0)
	(4516856.576,0)	(4069412.03,0)	(4470900.887,0)	(4028011.476,0)	(4442083.318,0)
	(4002050.297,0)	(4362427.757,0)	(3930290.804,0)	(4415473.307,0)	(3978077.968,0)
	(4389489.63,0)	(3954670,0)	(4326893.56,0)	(3898279.079,0)	(4353679.766,0)
	(3922409.822,0)	(3548990.943,0)	(3197546.743,0)	(3547116.523,0)	(3195858.59,0)
	(3548289.976,0)	(3196915.258,0)	(3548801.47,0)	(3197375.909,0)	(3550739.586,0)
	(3199121.542,0)	(3552746.363,0)	(3200929.055,0)	(3554110.189,0)	(3202157.44,0)
