70578	
	(0.3648917361,0)	(-6213.55682,0)	(8.152303614,0)	(0,-11.09010146)	(0.8922902064,0)
	(4.525976283,0)	(0,-6.769966945)	(0.2784007005,0)	(4.351376266,0)	(0,-6.804623741)
	(0.2411810471,0)	(6.58367916,0)	(0,-9.7362517)	(0.5493227388,0)	(3.956689699,0)
	(0,-6.118548969)	(0.2073212512,0)	(-5904.603166,0)	(2.247542295,0)	(0,-3.734870605)
	(0.06466562913,0)	(-4.812041133e-33,0)	(0,8.451265962e-33)	(-1.453239348e-32,0)	(-5794.001836,0)
	(1.734343452,0)	(0,-2.96929043)	(0.0368821214,0)	(-9.283099353e-33,0)	(0,1.675369991e-32)
	(-2.863194903e-32,0)	(581.4011986,0)	(0,582.4298986)	(0.3628947362,0)	(-2.738508815e-31,0)
	(0,-2.751363384e-31)	(-1.277505024e-31,0)	(694.7872333,0)	(-8.026423716e-31,0)	(0,-8.142909236e-31)
	(-6.433297182e-31,0)	(412.2822343,0)	(0,415.5385973)	(0.6052029758,0)	(1125.589937,0)
	(0,1125.320132)	(-7.050875291e-35,0)	(-0.6477291313,0)	(1333.030983,0)	(0,1334.77422)
	(2.81359904,0)	(1636.429784,0)	(0,1636.333142)	(1.007842345e-34,0)	(967.7814422,0)
	(0,970.027728)	(1.701604797,0)	(1826.306133,0)	(0,1829.00215)	(5.654644098,0)
	(2108.371273,0)	(0,2108.198102)	(-8.645520766e-35,0)	(-0.1666447071,0)	(2257.414989,0)
	(0,2259.292525)	(7.151374801,0)	(2550.364373,0)	(0,2550.385973)	(6.423578112e-35,0)
	(-1.051526068e-32,0)	(0,9.499979971e-33)	(-9.366658703e-33,0)	(3559.135728,0)	(0.04673359257,0)
	(0,-3.129893224)	(3.156400311,0)	(0.04614289248,0)	(0,-3.201460025)	(3.213784477,0)
	(-2.054702072e-32,0)	(0,1.879054402e-32)	(-1.841682776e-32,0)	(0.3341089215,0)	(0,-7.277550878)
	(7.701570881,0)	(3876.95025,0)	(0.8337756641,0)	(0,-10.99907408)	(11.95237023,0)
	(0.6429404406,0)	(0,-10.33759278)	(11.02594051,0)	(0.2739047409,0)	(0,-6.828708202)
	(7.137867363,0)	(0.2004466822,0)	(0,-6.396589588)	(6.571167577,0)	(0.5342815826,0)
	(0,-9.829682979)	(10.35964286,0)	(0.2199533717,0)	(0,-6.418161912)	(6.638950915,0)
	(3605.461582,0)	(2.724549669,0)	(0,-18.53233974)	(21.01212847,0)	(2.281931399,0)
	(0,-17.95898324)	(20.03235483,0)	(1.256408199,0)	(0,-13.95250933)	(15.20393815,0)
	(1.621779632,0)	(0,-14.79339119)	(16.44811141,0)	(3547.095893,0)	(0.04043615823,0)
	(0,-3.114670214)	(3.108254577,0)	(-1.00643537e-32,0)	(0,9.334739946e-33)	(-9.129584279e-33,0)
	(3285.592586,0)	(0.04003864833,0)	(0,-3.230368307)	(3.208534314,0)	(-1.97719962e-32,0)
	(0,1.854700704e-32)	(-1.80601787e-32,0)	(0.03566847118,0)	(0,-3.152950366)	(3.118623311,0)
	(9.496190101,0)	(0,-25.37838053)	(31.28461427,0)	(7.252787177,0)	(0,-24.1886054)
