67798	
	(2.223045515e-32,-1.008300175e-32)	(-3.067338263e-33,-9.155377223e-33)	(40.07768993,87.48060143)	(-87.41831547,40.0569852)	(4.179098913e-36,1.000795954e-35)
	(-3.398248223e-36,-1.203005967e-35)	(4.859825637e-36,-9.267935229e-37)	(2.538821799e-34,7.594957712e-34)	(-0.1022263626,-0.1936535598)	(0.7837666946,0.469709805)
	(-0.2413271447,0.3964880682)	(2.718519935,1.646276877)	(0.1513583052,0.09081690443)	(-0.1291100347,0.2121232382)	(1.225667463,0.7452049335)
	(0.5366596662,0.3217155889)	(-0.2200558323,0.3615458991)	(2.322452278,1.408633988)	(0.2801063568,0.1680025139)	(-0.1730103023,0.2842525913)
	(1.690158629,1.027031691)	(0.3491694488,0.2093857321)	(-0.1767580224,0.2904057707)	(1.839935024,1.11632081)	(-989.7618234,-624.4855727)
	(0.1302711637,0.07817711459)	(-0.1285630803,0.2112271728)	(1.157983094,0.7050906022)	(0.04475172561,0.02687420907)	(-0.08209398779,0.1348790029)
	(0.6817946774,0.4160276961)	(0.009441955375,0.005674497957)	(-0.04155106784,0.06826715495)	(0.3290263369,0.2009828251)	(0.05387832801,0.03234883645)
	(-0.08535197017,0.1402308031)	(0.7366783806,0.4489660828)	(-994.8907875,-627.8426245)	(-5.497242525e-33,-3.477444814e-33)	(1.614636599e-34,-2.652809156e-34)
	(-1.136085273e-33,-6.966237138e-34)	(0.009087457922,0.005460377228)	(-0.04008029292,0.06585109574)	(0.3079573015,0.1883262524)	(-2.831945211e-33,-1.788339954e-33)
	(8.390238929e-35,-1.37848922e-34)	(-6.13672835e-34,-3.757456693e-34)	(-990.6499067,-625.5150907)	(-8.277706194e-34,-4.901105583e-34)	(6.648102178e-35,-1.09103213e-34)
	(4.927643942e-35,1.14380143e-34)	(-18.02313411,-42.53911477)	(-1.630557913e-33,-9.651852961e-34)	(1.314142809e-34,-2.156539851e-34)	(1.581749598e-34,2.671198162e-34)
	(0.5648305021,0.334546917)	(-0.04453287442,0.07308268963)	(0.008849905861,0.005290121747)	(0.5113040751,0.3028903954)	(-0.04028645363,0.06611675832)
	(0.007423040776,0.004436888319)	(2.555687777,1.517891845)	(-0.1846975324,0.3031921184)	(0.2410684742,0.1444354929)	(1.05159855,0.623274841)
	(-0.08121224711,0.1332865765)	(0.03227477085,0.0193031712)	(-29.51402122,-49.34688361)	(1.258042507,0.7460543009)	(-0.09576033849,0.1571757249)
	(0.05066361231,0.03031377117)	(-18.07030581,-42.36656696)	(2.314436052,1.37386817)	(-0.1699169741,0.2789111191)	(0.1822201914,0.1091357972)
	(-34.30228191,-52.0178914)	(1.093627899,0.6480635224)	(-0.08466217338,0.1389426618)	(0.03339900384,0.01997395963)	(1.151647096,0.6827613171)
	(-0.08832081275,0.1449590662)	(0.04044660424,0.02419542556)	(1.857519906,1.101808789)	(-0.1394703802,0.2289143729)	(0.1073136595,0.06423665779)
	(1.737437401,1.030289006)	(-0.1314459454,0.2157352481)	(0.09012899314,0.05393894661)	(2.379433756,1.412019083)	(-0.1758289348,0.2885996584)
	(0.18021095,0.1079181323)	(2.894626465,1.718927033)	(-0.2095315148,0.3439438574)	(0.2896336658,0.1735395205)	(1.772568771,1.051710524)
	(-0.1324311855,0.2173726934)	(0.1039061468,0.0622022254)	(-8.105234158e-34,-4.796809405e-34)	(6.537360618e-35,-1.072737108e-34)	(1.098101934e-34,1.536348129e-34)
	(-39.57115128,-55.5963293)	(0.5496713226,0.3254843096)	(-0.04350709071,0.07139528357)	(0.007938795405,0.004744628179)	(0.5163266257,0.3056648082)
	(-0.04102213647,0.06731385603)	(0.006623689049,0.003957799216)	(-1.606338153e-33,-9.50427414e-34)	(1.300169787e-34,-2.133367099e-34)	(2.764044227e-34,3.445996417e-34)
	(0.5039627169,0.2982758244)	(-0.0401603412,0.06589594491)	(0.005980499142,0.003572812809)	(-8.027870915e-34,-4.749031619e-34)	(6.497974335e-35,-1.066151215e-34)
	(1.668410249e-34,1.914213712e-34)	(-58.16761427,-66.86859888)	(-1.600348788e-33,-9.465143061e-34)	(1.298424389e-34,-2.130254832e-34)	(3.868287856e-34,4.185886866e-34)
	(0.4311808406,0.2551370613)	(-0.0344937984,0.05659506785)	(0.00415829942,0.002483536407)	(1.314839857,0.7875955605)	(-0.3308713331,0.5436194173)
	(3.672881195,2.22439251)	(1.032154549,0.6184150427)	(-0.2838752912,0.4663983086)	(3.182940103,1.927516811)	(2.736929379,1.638251993)
	(-0.212887065,0.3496968284)	(2.817929746,1.694995735)	(2.807588368,1.680483438)	(-0.2660768313,0.4370873474)	(3.515535167,2.116692756)
	(1.734723603,1.03917642)	(-0.1761812499,0.2894156093)	(2.561874313,1.542666002)	(-975.8967609,-614.4389022)	(1.933882486,1.158180545)
	(-0.2331961709,0.3830866155)	(3.184237562,1.918969789)	(1.753549811,1.050091859)	(-0.3571221594,0.5867410756)	(4.114824386,2.489202499)
