63409	
	(-3.098624017e-35,1.241794566e-35)	(1.102583192e-34,-3.729471665e-35)	(0.02149378278,-0.007428815838)	(-5.439332512e-35,2.21101835e-35)	(1.517499976e-34,-5.60327413e-35)
	(0.02015615455,-0.007573452088)	(-0.0006678197014,0.0002039667474)	(-0.0003784420106,0.0001182744609)	(-0.001136686287,0.0003840909263)	(-0.0007022682461,0.0002451980441)
	(-0.001369301473,0.0004394309657)	(-0.0007940541277,0.0002655653851)	(-0.001318329546,0.0003907236624)	(-0.0007185516094,0.0002223335377)	(0.02087826794,-0.00746415941)
	(-0.001983642815,0.0006189054821)	(-0.001105482872,0.0003671834594)	(-0.002049965597,0.0005951628368)	(-0.00107399025,0.0003346482048)	(-0.002946435457,0.001469629897)
	(-0.002532994046,0.001352977902)	(-0.002631752917,0.00135156283)	(-0.0023692793,0.001292149748)	(-0.002481112088,0.00120204665)	(-0.002095056152,0.001074854305)
	(-0.002241752019,0.001121448318)	(-0.001983063145,0.00104386472)	(0.01603711224,-0.007383028392)	(-0.003383230535,0.001565768815)	(-0.002632256255,0.001322162672)
	(-0.003208162785,0.001551622025)	(-0.00263718502,0.001375949577)	(-0.002804058427,0.001263065806)	(-0.002163663432,0.001042531938)	(-0.002754907753,0.001292797245)
	(-0.002226496564,0.001114773194)	(0.01696737985,-0.007476308009)	(-0.002363722873,0.0008134006037)	(-0.001421812704,0.0005240783571)	(-0.002230253391,0.0008776449048)
	(-0.001525783549,0.0006359857457)	(0.01870662819,-0.007568934128)	(-0.002184175325,0.0008236338576)	(-0.001433106872,0.0005726181975)	(-0.003475234988,0.001544578825)
	(-0.002579333942,0.001249502946)	(-0.002561003201,0.001057115133)	(-0.001817070711,0.0007997999696)	(-0.002888389249,0.001247421282)	(-0.002123201281,0.0009849014977)
	(0.01794559612,-0.007541375608)	(-0.003366961543,0.001411292532)	(-0.00236228296,0.001078995961)	(-0.003084530385,0.001234663701)	(-0.002088166077,0.0009059395251)
	(-0.003065817952,0.001177893755)	(-0.001993146623,0.0008316538202)	(-0.003138619057,0.001140269552)	(-0.001931794239,0.0007670349888)	(-0.002161958291,0.0007799656051)
	(-0.001363198707,0.0005223313638)	(0.01951899765,-0.007563506789)	(1.258326614e-34,-2.713638651e-35)	(1.315962142e-34,-7.856988908e-35)	(0.01507831648,-0.004597166137)
	(1.466095701e-34,-2.596151183e-35)	(1.398789189e-34,-6.592155884e-35)	(0.0176943161,-0.004465283814)	(0.002388802211,-0.001845906949)	(-0.01463677382,0.014533886)
	(0.01014772315,-0.002884147506)	(0.002909582277,-0.002082107444)	(-0.02006592386,0.02165534986)	(0.003157214277,-0.00220741687)	(-0.01369476767,0.01241857102)
	(0.001672760633,-0.001299658936)	(-0.007577329289,0.006605686953)	(0.002321158411,-0.001551163186)	(-0.007859420529,0.006079548106)	(2.782481431e-34,-5.671531892e-35)
	(2.587625483e-34,-1.350277249e-34)	(0.00243426476,-0.001537137639)	(-0.007519084771,0.005500464702)	(3.16052544e-34,-5.265694371e-35)	(2.793991273e-34,-1.124888447e-34)
	(1.645964147e-34,-2.285035403e-35)	(1.496630922e-34,-5.308541411e-35)	(0.02006576666,-0.004002641292)	(0.002455586494,-0.00145909213)	(-0.006985546478,0.004802660365)
	(3.459760113e-34,-4.336058348e-35)	(2.989917952e-34,-8.761656888e-35)	(-2.614928069e-16,2.273481409e-16)	(-9.69805129e-16,8.441319437e-16)	(-0.0002885453587,0.0002459673236)
	(-0.000898969415,0.0007748101095)	(-0.0002578082232,0.0002177661935)	(-0.0007662296737,0.000653497579)	(2.666057907e-17,-2.281395425e-17)	(8.593096618e-17,-7.36214289e-17)
	(5.749637585e-17,-4.882468907e-17)	(1.785021092e-16,-1.51682947e-16)	(0.005532238294,-0.003534681688)	(-0.0002339393789,0.0002026485005)	(-0.0008200267546,0.0007175843779)
	(-0.0002803142431,0.0002408927002)	(-0.0009082291432,0.0007892853483)	(-2.080306603e-35,1.249452982e-35)	(2.21062391e-35,-1.750572439e-35)	(0.005006289245,-0.003235591598)
	(-0.0007789041478,0.0006561586989)	(-0.00218541414,0.001895594485)	(-0.0006279672293,0.0005227222711)	(-0.001666019854,0.001417173115)	(-0.0005266726396,0.0004427754074)
	(-0.001491181467,0.001278343139)	(0.005978030302,-0.003767478411)	(-0.0005370576252,0.0004557801101)	(-0.001600480243,0.001386356549)	(-0.0008842483148,0.0006605479632)
	(-0.001599085519,0.00122275883)	(0.009119726865,-0.005366059704)	(-0.001246092196,0.000934443001)	(-0.002231699632,0.001730607129)	(-0.0008801996767,0.0006686662097)
	(-0.00165700418,0.001288814237)	(-0.001236140572,0.0009065424913)	(-0.002096242995,0.001586867659)	(-0.00159728651,0.001176607759)	(-0.002686320946,0.002064128437)
	(-0.0007648516384,0.0006114594044)	(-0.00170370739,0.001393989488)	(0.007484639847,-0.004579296236)	(-0.0008792037499,0.0006784331873)	(-0.001740365276,0.001376595314)
	(0.008370559728,-0.005011088179)	(-0.0009953918513,0.0007987327409)	(-0.002219287101,0.001836786699)	(-0.0008120767617,0.0006382023425)	(-0.001702059422,0.001369417757)
	(-0.00122577869,0.0009516093877)	(-0.002423193177,0.001949107529)	(-0.001141942255,0.0009021295513)	(-0.002392920288,0.001956287655)	(-0.001221889099,0.0009312684496)
	(-0.002285115462,0.001801299463)	(-0.001364622359,0.001082500319)	(-0.00285877217,0.002364798319)	(-0.0008885546474,0.0007412939935)	(-0.002345008374,0.002019340792)
	(-0.000738071897,0.0006077860839)	(-0.001857996491,0.001568426209)	(0.006692758132,-0.004163935517)	(-0.001071710831,0.0008813826368)	(-0.002619716214,0.002234797337)
