63409	
	(0.001780300595,-0.001633289224)	(0.002825836756,-0.002721112103)	(0.001591038957,-0.001418430623)	(0.002396031197,-0.002224672807)	(0.001718623128,-0.00149956241)
	(0.002455053619,-0.002236060921)	(-0.01033113154,0.007361794124)	(0.00208574365,-0.001797991676)	(0.002848860019,-0.002586589052)	(0.003283131314,-0.002264069753)
	(0.002956149375,-0.002193333238)	(0.002764175233,-0.001946604884)	(0.002622556175,-0.001961682424)	(0.002803180544,-0.001921038275)	(0.002556065919,-0.001862168277)
	(-0.01471276487,0.009058183351)	(0.003086894407,-0.002064184615)	(0.002689362274,-0.001923907897)	(0.003223467037,-0.002282612787)	(0.003018600377,-0.002297246022)
	(0.002687306493,-0.002000947975)	(0.002775615068,-0.002194412864)	(0.003136613727,-0.002295689769)	(0.003092230183,-0.00242976728)	(0.002742112716,-0.001982881573)
	(0.002706324959,-0.002079371291)	(-0.01387822904,0.00880332955)	(-0.002843935604,0.002346272562)	(0.02074007664,-0.03101184317)	(-0.009370481434,0.003468609312)
	(-0.002704065372,0.00161862137)	(0.02371808655,-0.04144495977)	(-0.003483972768,0.002941175439)	(0.01648095414,-0.02084767707)	(-0.004130416265,0.003123897116)
	(0.0175902802,-0.02212163607)	(-0.003654847798,0.002617372702)	(0.02111824806,-0.0315052649)	(-0.0007193701472,-0.001410109877)	(0.02062277391,-0.06770975329)
	(2.322850072e-33,3.187910161e-33)	(0.01710897585,-0.07358699826)	(1.880261389e-33,3.528949891e-33)	(0.02252120067,-0.06524672861)	(-3.033712023e-05,6.734582374e-05)
	(-0.001055879074,-0.0002751102439)	(0.02421123252,-0.05880909118)	(-0.002272583216,-0.0003516280375)	(0.02330589482,-0.05097055846)	(-0.002249230298,0.000425467696)
	(0.02434572798,-0.05031205108)	(-0.008788328915,0.002647836686)	(-0.001468382312,-0.001583298981)	(0.02231479714,-0.06050131495)	(-0.00316069112,0.001490571486)
	(0.02318751562,-0.04092189832)	(2.102619638e-35,-2.319730342e-35)	(-5.404234912e-34,1.78969801e-34)	(7.458973621e-35,-4.158838712e-35)	(-4.940011509e-34,1.937220431e-34)
	(4.119812259e-35,-2.271883248e-35)	(-2.407338534e-34,9.817420691e-35)	(-0.0229632478,0.009556451507)	(5.177141107e-35,-2.764151038e-35)	(-2.261058457e-34,9.949116952e-35)
	(-0.02178503684,0.009770987761)	(0.0009213234403,-0.0003256472559)	(0.0004144553488,-0.000150961569)	(0.001106861216,-0.0003356239522)	(0.0004236131361,-0.0001343191536)
	(0.001196910482,-0.0003339125062)	(0.0004113490262,-0.0001215044035)	(9.710731947e-35,-5.153138297e-35)	(-4.658387504e-34,1.975001775e-34)	(0.001091842846,-0.0003611533755)
	(0.0004475451313,-0.0001540436918)	(0.001344089223,-0.0003053042151)	(0.0003764919955,-9.345242275e-05)	(4.921510924e-35,-3.20540765e-35)	(-5.190016806e-34,1.874562673e-34)
	(0.001200264178,-0.0003016155936)	(0.0003802318866,-0.0001019363699)	(2.905367128e-35,-1.789696817e-35)	(-2.540332014e-34,9.562682713e-35)	(-0.02407073591,0.009246647744)
	(0.001332867243,-0.0002652073202)	(0.0003373419297,-7.499179979e-05)	(1.570872949e-35,-1.340046392e-35)	(-2.655363773e-34,9.185441372e-35)	(-0.02506629144,0.008837597893)
	(0.001739388022,-0.0003178825604)	(0.0003963619539,-8.553484766e-05)	(0.0009986246437,-0.0001560770115)	(0.0002022820877,-3.585351966e-05)	(0.001919204994,-0.0006710367875)
	(0.000818152301,-0.0003051540092)	(0.002740816943,-0.001027737716)	(0.001225719107,-0.0005014260785)	(0.001778288964,-0.0006609642732)	(0.0008157783653,-0.000320718844)
	(-0.02133598227,0.009763262831)	(0.002231738536,-0.0008796752365)	(0.001068668001,-0.0004494781325)	(0.003140554091,-0.001246825028)	(0.001469042532,-0.000640621962)
	(0.00268658735,-0.001119680134)	(0.001346683568,-0.0006049048332)	(-0.0205926527,0.009800635309)	(0.002508144793,-0.001162119926)	(0.001424081755,-0.0007023556923)
	(-0.01952299382,0.009822584007)	(0.003221079387,-0.001560734989)	(0.001878035545,-0.0009852621995)	(0.003497348825,-0.001537860697)	(0.001807468005,-0.0008740586007)
	(0.0036709103,-0.001546183637)	(0.001795907124,-0.0008399033769)	(0.002566805778,-0.00112852613)	(0.001373597491,-0.0006462443323)	(0.003389867031,-0.001568422918)
	(0.00186265629,-0.0009405289882)	(0.003405288698,-0.002222083838)	(0.002831041928,-0.001992264508)	(-0.01561160601,0.009270979611)	(0.003572668405,-0.002247780092)
